datetime;W
20160226:1055;31828,1
20160226:1155;33964,45
20160226:1255;17417,57
20160226:1355;12199,13
20160226:1455;5655,21
20160226:1555;3498,95
20160226:1655;1206,96
20160226:1755;0
20160226:1855;0
20160226:1955;0
20160226:2055;0
20160226:2155;0
20160226:2255;0
20160226:2355;0
20160227:0055;0
20160227:0155;0
20160227:0255;0
20160227:0355;0
20160227:0455;0
20160227:0555;0
20160227:0655;216,72
20160227:0755;7129,1
20160227:0855;17607,04
20160227:0955;26744,81
20160227:1055;32698,53
20160227:1155;34747,23
20160227:1255;33124,12
20160227:1355;27718,21
20160227:1455;19359,82
20160227:1555;6373,86
20160227:1655;1187,51
20160227:1755;0
20160227:1855;0
20160227:1955;0
20160227:2055;0
20160227:2155;0
20160227:2255;0
20160227:2355;0
20160228:0055;0
