Datetime;W;W
30/03/2019 04:00;1979;2469
30/03/2019 05:00;1913;2187
30/03/2019 06:00;1808;2559
30/03/2019 07:00;3086;2268
30/03/2019 08:00;4533;2095
30/03/2019 09:00;5805;7528
30/03/2019 10:00;7497;7521
30/03/2019 11:00;10332;13859
30/03/2019 12:00;11748;12232
30/03/2019 13:00;12959;11823
30/03/2019 14:00;10560;10794
30/03/2019 15:00;7992;6860
30/03/2019 16:00;4866;4678
30/03/2019 17:00;3581;3844
30/03/2019 18:00;3380;3500
30/03/2019 19:00;2927;4153
30/03/2019 20:00;4021;3450
30/03/2019 21:00;3997;5869
30/03/2019 22:00;4533;2541
30/03/2019 23:00;2377;4466
31/03/2019 00:00;5140;4811
31/03/2019 01:00;2649;1850
31/03/2019 03:00;2163;2469
31/03/2019 04:00;2211;1948
31/03/2019 05:00;2439;2922
31/03/2019 06:00;1898;2607
31/03/2019 07:00;2130;1992
31/03/2019 08:00;5455;7156
31/03/2019 09:00;8134;6722
31/03/2019 10:00;8390;6077
31/03/2019 11:00;11276;11219
31/03/2019 12:00;12701;11549
31/03/2019 13:00;11667;12344
31/03/2019 14:00;9916;11630
31/03/2019 15:00;7421;4306
31/03/2019 16:00;4667;3864
31/03/2019 17:00;4593;3150
31/03/2019 18:00;4039;2655
31/03/2019 19:00;3275;3531
31/03/2019 20:00;6657;4433
31/03/2019 21:00;5002;3997
31/03/2019 22:00;3176;4192
31/03/2019 23:00;3378;5234
01/04/2019 00:00;4763;4656
01/04/2019 01:00;4625;4851
01/04/2019 02:00;3616;2857
01/04/2019 03:00;2883;2513
01/04/2019 04:00;2198;2005
01/04/2019 05:00;1852;2285
01/04/2019 06:00;3375;4573
01/04/2019 07:00;2852;2824
01/04/2019 08:00;2854;8259
01/04/2019 09:00;9358;8309
01/04/2019 10:00;8320;8835
01/04/2019 11:00;13103;15262
01/04/2019 12:00;14397;16564
01/04/2019 13:00;14040;14476
01/04/2019 14:00;14739;10209
01/04/2019 15:00;7548;7524
01/04/2019 16:00;6946;5173
01/04/2019 17:00;3325;3524
01/04/2019 18:00;3097;3879
01/04/2019 19:00;3846;5630
01/04/2019 20:00;3931;3516
01/04/2019 21:00;2776;2758
01/04/2019 22:00;2204;2274
01/04/2019 23:00;3673;5674
02/04/2019 00:00;4501;3977
02/04/2019 01:00;2023;1992
02/04/2019 02:00;2603;1992
02/04/2019 03:00;3041;2828
02/04/2019 04:00;2099;2237
02/04/2019 05:00;1983;1736
02/04/2019 06:00;1950;3124
02/04/2019 07:00;3356;3253
02/04/2019 08:00;11311;12471
02/04/2019 09:00;9332;6536
02/04/2019 10:00;7699;11893
02/04/2019 11:00;11659;13804
02/04/2019 12:00;10947;14355
02/04/2019 13:00;11716;14086
02/04/2019 14:00;9568;7828
02/04/2019 15:00;7572;6902
02/04/2019 16:00;4608;5497
02/04/2019 17:00;5164;5100
02/04/2019 18:00;4148;2914
02/04/2019 19:00;3544;3973
02/04/2019 20:00;4728;3128
02/04/2019 21:00;2837;2439
02/04/2019 22:00;2368;2598
02/04/2019 23:00;2414;5002
03/04/2019 00:00;4428;5330
03/04/2019 01:00;3568;2165
03/04/2019 02:00;2811;2231
03/04/2019 03:00;2261;2622
03/04/2019 04:00;2636;2839
03/04/2019 05:00;2769;3207
03/04/2019 06:00;2550;4676
03/04/2019 07:00;4781;2110
03/04/2019 08:00;3603;7999
03/04/2019 09:00;9286;6827
03/04/2019 10:00;8929;8887
03/04/2019 11:00;14920;14253
03/04/2019 12:00;12860;13182
03/04/2019 13:00;13322;14268
03/04/2019 14:00;12504;9868
03/04/2019 15:00;6331;6029
03/04/2019 16:00;5805;4932
03/04/2019 17:00;3888;3452
03/04/2019 18:00;3244;3483
03/04/2019 19:00;3748;3535
03/04/2019 20:00;3780;2454
03/04/2019 21:00;2754;2647
03/04/2019 22:00;2478;2465
03/04/2019 23:00;3772;7042
04/04/2019 00:00;6499;2636
04/04/2019 01:00;2528;2570
04/04/2019 02:00;2458;3047
04/04/2019 03:00;2533;2898
04/04/2019 04:00;3415;2618
04/04/2019 05:00;4247;6081
04/04/2019 06:00;2782;3286
04/04/2019 07:00;3246;3019
04/04/2019 08:00;4702;10002
04/04/2019 09:00;8147;8787
04/04/2019 10:00;8583;8056
04/04/2019 11:00;5464;11420
04/04/2019 12:00;11648;14329
04/04/2019 13:00;14345;11871
04/04/2019 14:00;11711;9430
04/04/2019 15:00;8717;6164
04/04/2019 16:00;4783;4061
04/04/2019 17:00;4378;4214
04/04/2019 18:00;4072;3209
04/04/2019 19:00;3579;2760
04/04/2019 20:00;2841;2651
04/04/2019 21:00;3702;4328
04/04/2019 22:00;2465;2329
04/04/2019 23:00;2747;4877
05/04/2019 00:00;5155;6096
05/04/2019 01:00;4435;2653
05/04/2019 02:00;2804;2393
05/04/2019 03:00;2822;2846
05/04/2019 04:00;3111;3086
05/04/2019 05:00;2874;2747
05/04/2019 06:00;2609;3369
05/04/2019 07:00;5002;3351
05/04/2019 08:00;5326;4641
05/04/2019 09:00;8618;8452
05/04/2019 10:00;8143;10137
05/04/2019 11:00;8931;13138
05/04/2019 12:00;12893;12539
05/04/2019 13:00;13600;12762
05/04/2019 14:00;7968;6817
05/04/2019 15:00;6145;7068
05/04/2019 16:00;7151;5687
05/04/2019 17:00;4785;6595
05/04/2019 18:00;7412;6679
05/04/2019 19:00;7079;9807
05/04/2019 20:00;12679;8338
05/04/2019 21:00;5129;6959
05/04/2019 22:00;4080;2741
05/04/2019 23:00;2970;4818
06/04/2019 00:00;4085;2358
06/04/2019 01:00;1872;1880
06/04/2019 02:00;2108;2366
06/04/2019 03:00;3198;2938
06/04/2019 04:00;2340;2513
06/04/2019 05:00;2684;2949
06/04/2019 06:00;3284;3126
06/04/2019 07:00;3461;2863
06/04/2019 08:00;3761;3522
06/04/2019 09:00;5508;10417
06/04/2019 10:00;9706;7475
06/04/2019 11:00;6530;7944
06/04/2019 12:00;9008;8990
06/04/2019 13:00;10085;8248
06/04/2019 14:00;8852;9192
06/04/2019 15:00;9027;6317
06/04/2019 16:00;4082;5409
06/04/2019 17:00;3931;4380
06/04/2019 18:00;4638;4505
06/04/2019 19:00;3811;3012
06/04/2019 20:00;2478;2984
06/04/2019 21:00;2920;2530
06/04/2019 22:00;2609;3345
06/04/2019 23:00;3678;4829
07/04/2019 00:00;4779;5033
07/04/2019 01:00;3056;2804
07/04/2019 02:00;2662;2769
07/04/2019 03:00;3119;2570
07/04/2019 04:00;2358;3130
07/04/2019 05:00;2609;2136
07/04/2019 06:00;2660;2233
